name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,6.4600000000117507e+02,6.4600000000117507e+02,2.0810038296838895e+04,2.0753863019434808e+04
branch0_seg0,1.1249999999999993e-01,6.4599999999941247e+02,6.4599999999941247e+02,2.0810038296782121e+04,2.0753863019378183e+04
branch0_seg0,2.2499999999999998e-01,6.4600000000029377e+02,6.4600000000029377e+02,2.0810038296810500e+04,2.0753863019406494e+04
branch0_seg0,3.3750000000000002e-01,6.4600000000029377e+02,6.4600000000029377e+02,2.0810038296810500e+04,2.0753863019406494e+04
branch0_seg0,4.5000000000000007e-01,6.4600000000029377e+02,6.4600000000029377e+02,2.0810038296810500e+04,2.0753863019406494e+04
branch0_seg0,5.6250000000000011e-01,6.4600000000029377e+02,6.4600000000029377e+02,2.0810038296810500e+04,2.0753863019406494e+04
branch0_seg0,6.7499999999999993e-01,6.4600000000029377e+02,6.4600000000029377e+02,2.0810038296810500e+04,2.0753863019406494e+04
branch0_seg0,7.8749999999999998e-01,6.4600000000029377e+02,6.4600000000029377e+02,2.0810038296810500e+04,2.0753863019406494e+04
branch0_seg0,9.0000000000000002e-01,6.4600000000029377e+02,6.4600000000029377e+02,2.0810038296810500e+04,2.0753863019406494e+04
branch1_seg0,0.0000000000000000e+00,5.1318341623707909e+02,5.1318341623707909e+02,1.8953650584297495e+04,1.8953650584297495e+04
branch1_seg0,1.1249999999999993e-01,5.1318341623567869e+02,5.1318341623567869e+02,1.8953650584245788e+04,1.8953650584245788e+04
branch1_seg0,2.2499999999999998e-01,5.1318341623637900e+02,5.1318341623637900e+02,1.8953650584271636e+04,1.8953650584271636e+04
branch1_seg0,3.3750000000000002e-01,5.1318341623637900e+02,5.1318341623637900e+02,1.8953650584271636e+04,1.8953650584271636e+04
branch1_seg0,4.5000000000000007e-01,5.1318341623637900e+02,5.1318341623637900e+02,1.8953650584271636e+04,1.8953650584271636e+04
branch1_seg0,5.6250000000000011e-01,5.1318341623637900e+02,5.1318341623637900e+02,1.8953650584271636e+04,1.8953650584271636e+04
branch1_seg0,6.7499999999999993e-01,5.1318341623637900e+02,5.1318341623637900e+02,1.8953650584271636e+04,1.8953650584271636e+04
branch1_seg0,7.8749999999999998e-01,5.1318341623637900e+02,5.1318341623637900e+02,1.8953650584271636e+04,1.8953650584271636e+04
